name	va	args	gettop	player	pushes	returns	size
BT_GetLadderInfo	081C59D0	1:number 2:number	1	0		2	928
BT_GetTopTenInfo	081C57C0	1:number 2:number	1	0	string,number	2	286
BT_GetTypeBonus	081C58E0	1:number 2:number	0	0	number,number	1	234
BT_LeaveBattle	081C62E0		0	1		0	94
BT_ReportResult	081C5CE0	1:number	1	0		0	144
BT_SendLadderNo	081C55D0	1:number 2:? ?:number	1	0	string,string	1	491
BT_SendMemberCount	081C52F0	1:number 2:number 3:? ?:number	1	0	string,string	1	1227
BT_SetBattleLevelDesc	081C5F10	1:string	1	0		0	110
BT_SetBattleName	081C5F80	1:string	1	0		0	110
BT_SetData	081C68E0	1:number 2:number	1	1		0	206
BT_SetGameData	081C60E0	1:number 2:number	1	0		0	178
BT_SetMissionDesc	081C5EA0	1:string	1	0		0	110
BT_SetMissionName	081C5E30	1:string	1	0		0	110
BT_SetRestTime	081C61A0	1:number	1	0		0	138
BT_SetType2Task	081C6340	1:number 2:number	1	0		0	170
BT_SetTypeBonus	081C5120	1:number 2:number 3:number	1	0		0	449
BT_SetView	081C5220	1:number 2:number	1	0		0	193
BT_SortLadder	081C66A0		0	1	number	1	158
BT_SortWorldLadder	081C5B60	1:number 2:number	1	0		0	528
BT_UpdateMemberCount	081C6AE0		0	0		0	609
BT_ViewBattleStart	081C5FF0		0	1		0	95
BindItem	08127870	1:number	1	1	number	1	207
BotStopValidateClient	0814E680		0	0	number	1	54
BotValidateClient	0814E790	1:number 2:number 3:number	1	0	number,number	1	225
BuildATeam	08123680	1:string 2:number 3:? ?:number	1	0	number	0	422
C_Random	08105C30	1:number 2:number	1	0	number,number,number,number	3	761
CalcAutoHangPlayerCount	081012E0	1:number 2:number 3:number	1	0	number,number	1	233
CalcEnhanceExp	081093D0	1:number	1	0	number,number	1	202
CalcEquiproomItemCount	0810D580	1:number 2:number 3:number 4:number	1	1	number,number	1	312
CalcEquiproomItemCountEx	0810D3F0	1:number 2:number 3:number 4:number 5:number 6:number	1	1	number,number	1	388
CalcFreeItemCellCount	0810CA20		0	1	number,number	1	113
CalcItemCount	0810D840	1:number 2:number 3:number 4:number 5:number	1	1	number,number	1	342
CallPlayerFunction	08129580	1:number 2:string	1	1	number	1	646
Cancel	080FBA40		0	0		0	7
CancelStall	08107A10		0	1		0	50
CancelTrade	08118C90		0	1		0	41
CastSkill	0812B570	1:number 2:number 3:number 4:number	1	1	number,number	1	586
ChangeNpcFeature	08130E20	1:number 2:number 3:number 4:number 5:number 6:number 7:number 8:number	1	1		0	2678
ChangeOwnFeature	08131350	1:number 2:number 3:number 4:number 5:number 6:number 7:number	1	1		0	2902
ChangeTeamFeature	08103630	1:number 2:number 3:number	1	0	number	1	453
ChatRoom_AddTime	08109EA0	1:string	1	1	number	1	235
ChatRoom_ChangePassword	08109770	1:string 2:string	1	1	number	1	2075
ChatRoom_CloseRoom	081096A0	1:string 2:string	1	1		0	2228
ChatRoom_CreateRoom	08109D70	1:string 2:string	1	1	number	1	539
ChatRoom_EnterRoom	08109C40	1:string 2:string	1	1	number	1	843
ChatRoom_FindRoom	08109F90	1:number 2:number 3:number 4:number	1	1	number,number,number,number,number,number,number	1	1425
ChatRoom_KickOut	08109870	1:string 2:string	1	1	number	1	1819
ChatRoom_LeaveRoom	08109B70	1:string 2:string	1	1	number	1	1051
ChatRoom_Prevent	08109A70	1:string 2:string	1	1	number	1	1307
ChatRoom_UnPrevent	08109970	1:string 2:string	1	1	number	1	1563
CheckGlobalTradeFlag	081086F0		0	1	number,number	1	109
CheckPlayerFlag	0810B6B0	1:number	1	1	number	1	162
CheckStoreBoxState	0810EDA0	1:number 2:number	1	1	number	1	737
CheckTicket	0811CD70	1:number 2:number 3:number	1	1	number,number,number,number,number,number,number,number,number,number	3	1590
Clear120SkillExpLimit	08114B10		0	1	number,number	1	121
ClearBotCode	0814E990		0	0	number	1	42
ClearFactionRecord	0811A480		0	1		0	50
ClearMapNpc	08102E90	1:number	1	0		0	111
ClearMapNpcWithName	08102DF0	1:number 2:string	1	0		0	160
ClearMapObj	08102B40	1:number	1	0		0	121
ClearMapTrap	08102AC0	1:number	1	0		0	121
ClearNpcDamageState	080FC0D0	1:number	0	0		0	106
ClearObstacleObj	081213C0	1:number 2:number 3:number	1	1		0	598
ClearProgressBarEvent	080FC410	1:number 2:number	1	0	number	1	182
ClearScriptAnswers	08124FE0		0	1		0	52
ClearSomeObj	08121210		0	1		0	418
CloseGlbMission	08131D70	1:number	1	0		0	3076
CloseMission	081327E0	1:number	1	0		0	2979
CloseShop	081114F0		0	1		0	99
CloseTask	081747D0	1:string 2:number 3:number	1	1	number,number,number,number,number,number,number,number,string,nil,string,nil,nil,string,nil	1	1970
CompoundCryolite_Pendant	0825EA37		0	0			442
CompoundGold_EnhanceItem	0825EB51		0	0			160
ConsumeEquiproomItem	0810CEF0	1:number 2:number 3:number 4:number 5:number	1	1	number,number,table,number,number	1	501
ConsumeEquiproomItemEx	0810CD40	1:number 2:number 3:number 4:number 5:number 6:number 7:number	1	1	number,number,number,number,table,number,number	1	933
ConsumeItem	0810D6C0	1:number 2:number 3:number 4:number 5:number 6:number	1	1	number,number,number,number	1	726
CountFreeRoomByWH	0810C790	1:number 2:number 3:number	1	1	number,number,number,number,number,number,number,number	3	656
CreateBiaoChe	0810E9A0	1:number 2:number 3:number 4:string 5:number	1	1	nil,number,number,number,number	1	609
CreateChannel	081045A0	1:string 2:number	1	0	number	1	224
CreateStores	08122CD0		0	1		0	41
CreateTong	0811B020		1	1		0	184
DRS	08120E70	1:string	1	0		0	76
DbgPoint	08100110	1:number	1	0		0	87
Death	08117E00	1:number	1	1	number	1	374
DegradePlatinaItem	0811E1E0	1:number 2:number 3:number 4:number	1	1	nil,number,number,nil,number,number,nil,number,number,string,nil,table,number,nil	6	1755
DelBreakPoint	080FC140		0	0			27
DelCommonItem	0811D4C0	1:number 2:number 3:number	1	1	number	1	541
DelItem	0811D5D0	1:number	1	1		0	269
DelItemEx	0811D3B0	1:number	1	1		0	269
DelMSPlayer	081372A0	1:number 2:number 3:number	1	1	number	1	2988
DelMagic	0811C7E0	1:number	1	1	number,number,number,number,number,number	1	1144
DelMapTrap	08102600	1:number 2:number 3:number 4:number 5:number	1	0	number,number,number,number,nil	2	1068
DelNpc	08107460	1:number ?:?	1	1	number,number,number,number,number	1	1506
DelObject	08106900	?:?	1	0		0	164
DelStationList	08110F50		0	1		0	97
DelTimer	08100CA0	1:number	1	0	number,number	1	145
DeleteBiaoChe	0812D620	1:number 2:number	1	1	number,number,number,number,number,number	1	1858
DeleteChannel	08104560	1:string	1	0		0	54
Describe	081242A0	1:number 2:number 3:? ?:string	1	1	number,number	0	2765
DetachActor	0810BF70		1	1	number,number	1	113
DiceLootItem	081C14F0	1:number	1	1	number,string,number,number,number	2	927
DisableTeamChangeCamp	0810F170	1:number	0	1		0	120
DisabledChatCity	08130670	1:number	1	1	number,number,number	1	250
DisabledChatWorld	08130770	1:number	1	1	number,number,number	1	250
DisabledStall	08130980	1:number	1	1	number,number,number	1	250
DisabledTeam	08126590	1:number	1	1	number,number,number	1	250
DisabledUseHeart	08130870	1:number	1	1	number,number,number	1	258
DisabledUseTownP	08130A80	1:number	1	1	number,number,number	1	258
DoMarry	081053A0	1:number 2:number 3:number 4:number	1	0		0	1028
DoRelayScript	08120E70	1:string	1	0		0	76
DoSth	08118CC0	1:number 2:number 4:number	1	1		1	400
DropItem	081200B0	1:string 2:number 3:number 4:number	1	1	number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number	1	2474
DropItemEx	0811FD70	1:string 2:number 3:number 4:number	1	1	number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number	1	2540
DynamicExecute	081300B0	1:string 2:string	1	0	number,number	1	875
DynamicExecuteByPlayer	0812FE80	1:string 2:string 3:string	1	1	number,number,number,number	1	1435
EH_SetCurDurability	0810EFB0	1:number 2:number	1	1		0	209
Earn	08118970	1:number	0	1	number,number,number	1	662
EnchaseItem	08116CF0		0	1		0	96
EnterChannel	081044C0	1:number 2:string	1	0		0	133
ExeScript	080FB850		0	0		1	10
FadeInMusic	080FB880		0	0		0	7
FadeOutMusic	080FB890		0	0		0	7
FantasyGoldEquip	08116E30		0	1		0	103
FileName2Id	08100E80	1:string	1	0	number,number	1	110
File_Create	0814A120	1:string	0	0	number,number,number	1	640
FindFreeRoomByWH	0810C8E0	1:number 2:number	1	1	number,number,number,number,number,number	3	320
FindSpecItemParam2	0811CC60	1:number 2:number 3:number 4:number	1	1	number,number,number,number,number,number,number,number,number,number,number	3	1862
FirstTask	08174E30	1:string 2:number 3:number	1	1	string,nil,nil,number,nil,number,string,nil,number,number	2	1330
ForbidChangePK	0810F590	1:number	1	1		0	120
ForbidEnmity	0810B0F0	1:number	1	1		0	120
ForbitAura	08111560	1:number	0	1		0	272
ForbitSkill	08121620	1:number	1	1		0	157
ForbitStamina	0810CCC0	1:number	0	1		0	114
ForbitSyncAura	0810CC10	1:number	0	1		0	290
ForbitSyncName	08103CF0	1:number 2:number	1	0	number,number	1	591
ForbitTalk	0810CB70	1:number	0	1		0	159
ForbitTrade	08111600	1:number	0	1		0	112
ForceLeaveTong	0810FA40		0	1	number	1	75
ForceTransferTax	08121990	1:number	1	1		0	267
FormatTime2Date	081022B0	1:number	1	0	number,number	1	250
FormatTime2Number	081023B0	1:number	1	0	number,number	1	290
FormatTime2String	08106720	1:string 2:number	1	0	string,string	1	309
FoundryItem	08116EA0	1:number	1	1		0	597
GMCancleBoxPassword	0810EC80		0	1	number,number	1	97
GMLockBox	0810EC10		0	1	number,number	1	97
GMMsg2Player	081153E0	1:string 2:string	1	1		0	159
GMSetBoxPassword	0810ECF0	1:number	1	1	number,number	1	163
GMTongAddMember	08128300	1:string	1	1	number	1	415
GMTongDismiss	08104D40	1:string	1	0		0	54
GMTongSetAddTime	08104D80	1:number 2:number 3:number 4:string 5:string	1	0		0	210
GMTongSetExp	08104E60	1:number 2:string	1	0		0	106
GMTongSetLevel	08104ED0	1:number 2:string	1	0		0	106
GMTongSetMaster	08104F40	1:string 2:string	1	0		0	86
GMUnlockBox	0810EBA0		0	1	number,number	1	97
Get120SkillEnhanceExpRate	08109F40		0	1	number	1	75
GetAccLeftTime	0810BDE0		0	1	number,number	1	137
GetAccount	0810F6A0		0	1	string	1	99
GetAccrueSeries	080FC590	1:number	1	0	number,number,number	1	369
GetAllCitySummary	08116240		0	1	number,number,nil,number,number	1	537
GetAllClothesEquipment	0810D050		0	1	table,number,number	1	149
GetAllEquipValue	08108520		0	1	nil,number	1	100
GetAllEquipment	0810D0F0		0	1	table,number	1	118
GetAllSkillCurInc	0811C320		0	1	number,number	1	123
GetArenaBothSides	08104680	1:string 2:number 3:number	1	0	string,string,string,string,number,nil,number,table,number,number,nil,number,table,number,number,nil,number,number	2	1527
GetArenaCityArea	080FDFF0	1:number	1	0	number,number,number,number	1	279
GetArenaCredits	08108040		0	1	number	1	101
GetArenaInfoByCity	08121D00	1:number	1	0	string,string,string,string,string,string	1	2480
GetArenaLevel	08104640		0	0	number	1	64
GetArenaSchedule	08122000	1:string	1	1	string,string,string,string	1	2046
GetArenaTargetCity	080FBE20		0	0	number,number	1	73
GetArenaTotalLevel	08129510		0	0	number	1	110
GetArenaTotalLevelByCity	0812B880	1:number	1	0	number	1	167
GetAroundNpcList	0810E740	1:number 2:number	1	1	table,number,number,nil,number	2	411
GetAroundPlayerList	0810E530	1:number 2:number	1	1	table,number,number,nil,number	2	411
GetAutoHangExpValue	080FE1D0	1:number	1	0	number,number	1	153
GetBiaoChePos	0812D3C0	1:number 2:number	1	1	number,number,number,number,number,number,number,number	3	1948
GetBit	080FEBA0	1:number 2:number	0	0	number	1	131
GetBitTask	081090A0	1:number 2:number 3:number	1	1	number	1	246
GetBotDeleteAccountFlag	0814E730		0	0	number	1	34
GetBotPunishFlag	0814E760		0	0	number	1	34
GetBoxLockState	0810EB40		0	1	number,number,number	1	193
GetBoxMoney	08111670		0	1	number,number	1	89
GetByte	080FEA20	1:number 2:number	0	0	number	1	152
GetCamp	08114650		0	1	number,nil	1	107
GetCash	081116D0		0	1	number,number	1	89
GetCashCoin	08118800		0	1	number,number	1	105
GetChoose	08129C30	1:number 2:number	1	0	string,string	1	394
GetChooseCount	0812AA00	1:number	1	0	number,number	1	310
GetCity	080FB860		0	0		0	7
GetCityArea	08115C30		0	1	number	1	112
GetCityAreaName	080FFEB0	1:number	1	0	string,string	1	135
GetCityCount	080FBC30		0	0	number	1	48
GetCityOwner	080FFF40	1:number	1	0	string,string,string,string	2	250
GetCitySummary	081223C0	1:string	1	1	string,string	1	1086
GetCityWarBothSides	080FFDA0	1:number	1	0	string,string,string,string,string,string	2	407
GetCityWarTongCamp	081228C0	1:string	1	0	nil,number	1	122
GetColdR	08113B20	1:number	0	1	nil,number,number,number	1	314
GetConquerSeries	080FC600	1:number	1	0	number,number	1	257
GetContribution	0811A950		0	1	number,number	1	105
GetCumulateOffer	08113FC0		0	1	number,number	1	105
GetCurCamp	081146C0		0	1	number,nil	1	107
GetCurDurability	080FD550	1:number	1	0	number	1	108
GetCurEquipWishValue	080FCE00	1:number	1	0	number	1	120
GetCurServerTime	08103800		0	0	number	1	69
GetCurrentMagicLevel	0811C3A0	1:number 2:number	1	1	number,number,number,number	1	657
GetCurrentTime	08103A80		0	0	number	1	53
GetCurrentTong	0811AD30		0	1	number	1	85
GetDefend	08112090		0	1	number,nil	1	107
GetDelDupedAllInOne	080FBB70		0	0	number	1	34
GetDelayCatchTime	0814E6C0		0	0	number	1	34
GetDex	08111960	1:number	0	1	number,number,nil	1	196
GetDiceIncome	080FBE70		0	0	number	1	34
GetDisabledFuncFlag	08126520		0	1	number,number	1	105
GetDupedDealLevel	080FBBA0		0	0	number	1	44
GetDynamicShopID	08129240	1:string	1	1	number,number	1	422
GetEnergy	08107DE0		0	1	number	1	85
GetEng	08111A30	1:number	0	1	number,number,nil	1	196
GetEnhanceExpRate	081094A0		0	0	number	1	47
GetEquipMaxStoneNum	080FC800	1:number	1	0	number	1	120
GetEventTask	081742C0	1:number 2:number	1	0	string,nil,nil,string,number	1	494
GetEventTaskCount	08174430	1:number	1	0	number	1	126
GetExp	08117860		0	1	number,nil	1	83
GetExpPercent	08121090		0	1	number,number	1	106
GetExtPoint	0810FA90	1:number	1	1	number	1	136
GetFaction	0811A5D0		0	1	string,string	1	127
GetFactionNumber	08113C60		0	1	number,number	1	98
GetFailedItem	08113340	1:number	1	1		0	217
GetFeeType	0811B460		0	1	number,number	1	110
GetFightState	081113C0		0	1	number,number	1	154
GetFireR	081130A0	1:number	0	1	nil,number,number,number	1	314
GetFirstPlayerAtSW	08107680	1:number ?:?	1	1	number,number,number,number	1	962
GetFirstPlayerAtServer	08101CF0		0	0	number	1	46
GetFusionInEquipInfo	0810A6F0	1:string 2:number 3:number	1	1	table,number,number,number,number,number,number,number,number	1	1194
GetGameTime	0810F3A0		0	1	number	1	90
GetGateWayClientID	080FBC60		0	0	number	1	34
GetGiveItemUnit	08114E60	1:number	1	1	number	1	143
GetGiveItemUnitWithPos	08114D90	1:number	1	1	number,number	2	202
GetGlbMissionV	080FD6C0	1:number 2:number	1	0	number	1	295
GetGlbValue	080FE270	1:number	1	0	number	1	121
GetGlobalTradeFlag	080FBB40		0	0	number	1	34
GetGlodEqIndex	080FEF90	1:number	1	0	number,number,number	1	27
GetGoldCoinCount	08117790		0	1	number,number,nil	1	291
GetIP	0810F710		0	1	string	1	130
GetInfo	0810F7A0		0	1	string	1	382
GetIsCheckNpcBarrier	080FBC90		0	0	number	1	34
GetItemAllParams	08102D20	1:number	1	0	table,number	1	195
GetItemBTLMaxStackCount	08127B70	1:number 2:number	1	0	number,number,number,number,number,nil	1	427
GetItemBTLName	08127A70	1:number 2:number	1	0	string,string,number,number,number,number,number,number,nil	1	683
GetItemBelong	080FEC30	1:number	1	0	number	1	130
GetItemBillType	0810DD30	1:number 2:number 3:number 4:string 5:number	1	1	number,number,number	0	1294
GetItemBindState	080FE790	1:number	1	0	number	1	130
GetItemCmd	0811DAA0	1:number	1	0	string	1	185
GetItemCount	0811D6E0	1:number	1	1	number,number,number	1	334
GetItemCountEx	0811D830	1:number	1	1	number,number,number	1	334
GetItemDiceItemInfo	081C04A0	1:number	1	0	string,number,number,number,number,number,number	8	265
GetItemDicePlayerList	081C0380	1:number	1	0	table	1	282
GetItemDiceRollInfo	081C0B80	1:number	1	0	table,number,number,number,number,number,number,table,number,string,number,number,number,number,number,number,number,number,number,number,number,number,table,number,string,number,number,number,number,number	2	1106
GetItemDiceState	081C05B0	1:number	1	0	number	1	121
GetItemExchangeValue	080FCF90	1:number 2:number 3:number	1	0	number	0	527
GetItemFortuneValue	080FCF00	1:number 2:number 3:number	1	0	number,number	0	671
GetItemGenTime	080FE820	1:number	1	0	number	1	127
GetItemHeight	080FED90	1:number	1	0	number,number	1	140
GetItemIndexBydwID	081017C0	1:number	1	0	number	1	112
GetItemLevel	080FF0D0	1:number	1	0	number,number	1	143
GetItemLife	0811CB00	1:number	1	1	number,number,number	1	344
GetItemMagicAttrib	080FD7F0	1:number 2:number	1	0	number,number,number,number	4	295
GetItemMagicDesc	0811E5B0	1:number 2:number 3:number 4:number	1	0	string,nil,table,number,nil	6	779
GetItemMagicLevel	08100430	1:number 2:number	1	0	number,nil	1	234
GetItemMaxStackCount	080FD1A0	1:number	1	0	number,number,number,number	1	372
GetItemName	081005D0	1:number	1	0	nil,string	1	134
GetItemParam	080FECC0	1:number 2:number	1	0	number,number,number,number	1	348
GetItemPrice	08127C60	1:number	1	0	number,number,nil	1	187
GetItemProp	080FF260	1:number	1	0	number,number,number,number,number,number,number	6	250
GetItemQuality	080FEFB0	1:number	1	0	number,number	1	143
GetItemSeries	080FF040	1:number	1	0	number,number	1	143
GetItemStackCount	080FD250	1:number	1	0	number,number	1	196
GetItemValue	080FC670	1:number	0	0	number	1	145
GetItemWidth	080FEE20	1:number	1	0	number,number	1	140
GetJoinTongTime	08121100		0	1	number,number	1	113
GetLastAddFaction	0811A4C0		0	1	string,string	1	127
GetLastBreakTime	080FCCF0	1:number	1	0	number	1	131
GetLastDamageNpc	0810C0B0		0	1	number,number	1	114
GetLastDiagNpc	0810C5E0		0	1	number,number	1	146
GetLastDlgNpc	0810C5E0		0	1	number,number	1	146
GetLastExchangeTime	0810B9E0		0	1	number,nil	1	107
GetLastFactionNumber	0810E6D0	1:number 2:number	1	1	number,number,table,number,number,nil,number	2	523
GetLastLogoutTime	0810B870		0	1	number,nil	1	107
GetLastOfflineTime	0810B970		0	1	number,nil	1	107
GetLeadExp	08111D90		0	1	number,nil	1	99
GetLeadLevel	08111D20		0	1	number,nil	1	99
GetLevel	081111E0		0	1	number	1	112
GetLevelExp	08101110	1:number 2:number	1	0	number,number	1	251
GetLevelUpExp	08108830	1:number 2:number	1	1	number,number,number,number,number,number	1	826
GetLife	081124D0	1:number	0	1	nil,number,number	1	226
GetLightR	08112E00	1:number	0	1	nil,number,number,number	1	314
GetLocalDate	0812A140	1:number	1	0	string,string,number,number	1	950
GetLocalTime	08103850		0	0	number	1	69
GetLoginTime	0810B760		0	1	number,number	1	113
GetLogoutRV	081104A0		0	1	number	1	88
GetLoop	080FBDF0		0	0	number	1	34
GetLucky	08111B80	1:number	0	1	number,number,nil	1	212
GetMSIdxGroup	08135CF0	1:number 2:number	1	1	number,number	1	2924
GetMSPlayerCount	081351F0	1:number 2:number 3:number	1	0	number,number,number,number,number	2	2822
GetMSRestTime	081361C0	1:number 2:number 3:number	1	1	number	1	2961
GetMagicPoint	0810FE10		0	1	number	1	60
