08107AA0  AbradeEquipments
0814E790  BotValidateClient
08123680  BuildATeam
08105C30  C_Random
081012E0  CalcAutoHangPlayerCount
081093D0  CalcEnhanceExp
0810D580  CalcEquiproomItemCount
0810D3F0  CalcEquiproomItemCountEx
0810CA20  CalcFreeItemCellCount
0810D840  CalcItemCount
08129580  CallPlayerFunction
080FBA40  Cancel
08107A10  CancelStall
08118C90  CancelTrade
0812B570  CastSkill
08130E20  ChangeNpcFeature
08131350  ChangeOwnFeature
08103630  ChangeTeamFeature
08109EA0  ChatRoom_AddTime
08109770  ChatRoom_ChangePassword
081096A0  ChatRoom_CloseRoom
08109D70  ChatRoom_CreateRoom
08109C40  ChatRoom_EnterRoom
08109F90  ChatRoom_FindRoom
08109870  ChatRoom_KickOut
08109B70  ChatRoom_LeaveRoom
08109A70  ChatRoom_Prevent
08109970  ChatRoom_UnPrevent
081086F0  CheckGlobalTradeFlag
0810B6B0  CheckPlayerFlag
0810EDA0  CheckStoreBoxState
0811CD70  CheckTicket
08114B10  Clear120SkillExpLimit
0814E990  ClearBotCode
0811A480  ClearFactionRecord
08102E90  ClearMapNpc
08102DF0  ClearMapNpcWithName
08102B40  ClearMapObj
08102AC0  ClearMapTrap
080FC0D0  ClearNpcDamageState
081213C0  ClearObstacleObj
080FC410  ClearProgressBarEvent
08124FE0  ClearScriptAnswers
08121210  ClearSomeObj
08131D70  CloseGlbMission
081327E0  CloseMission
081114F0  CloseShop
081747D0  CloseTask
0825EA37  CompoundCryolite_Pendant
0825EB51  CompoundGold_EnhanceItem
0810CEF0  ConsumeEquiproomItem
0810CD40  ConsumeEquiproomItemEx
0810D6C0  ConsumeItem
0810C790  CountFreeRoomByWH
0810E9A0  CreateBiaoChe
081045A0  CreateChannel
08122CD0  CreateStores
0811B020  CreateTong
08120E70  DRS
08100110  DbgPoint
08117E00  Death
0811E1E0  DegradePlatinaItem
080FC140  DelBreakPoint
0811D4C0  DelCommonItem
0811D5D0  DelItem
0811D3B0  DelItemEx
081372A0  DelMSPlayer
0811C7E0  DelMagic
08102600  DelMapTrap
08107460  DelNpc
08106900  DelObject
08110F50  DelStationList
08100CA0  DelTimer
0812D620  DeleteBiaoChe
08104560  DeleteChannel
081242A0  Describe
0810BF70  DetachActor
081C14F0  DiceLootItem
0810F170  DisableTeamChangeCamp
08130670  DisabledChatCity
08130770  DisabledChatWorld
08130980  DisabledStall
08126590  DisabledTeam
08130870  DisabledUseHeart
08130A80  DisabledUseTownP
081053A0  DoMarry
08120E70  DoRelayScript
08118CC0  DoSth
081200B0  DropItem
0811FD70  DropItemEx
081300B0  DynamicExecute
0812FE80  DynamicExecuteByPlayer
0810EFB0  EH_SetCurDurability
08118970  Earn
08116CF0  EnchaseItem
081044C0  EnterChannel
080FB850  ExeScript
080FB880  FadeInMusic
080FB890  FadeOutMusic
08116E30  FantasyGoldEquip
08100E80  FileName2Id
0814A120  File_Create
0810C8E0  FindFreeRoomByWH
0811CC60  FindSpecItemParam2
08174E30  FirstTask
0810F590  ForbidChangePK
0810B0F0  ForbidEnmity
08111560  ForbitAura
08121620  ForbitSkill
0810CCC0  ForbitStamina
0810CC10  ForbitSyncAura
08103CF0  ForbitSyncName
0810CB70  ForbitTalk
08111600  ForbitTrade
0810FA40  ForceLeaveTong
08121990  ForceTransferTax
081022B0  FormatTime2Date
081023B0  FormatTime2Number
08106720  FormatTime2String
08116EA0  FoundryItem
0810EC80  GMCancleBoxPassword
0810EC10  GMLockBox
081153E0  GMMsg2Player
0810ECF0  GMSetBoxPassword
08128300  GMTongAddMember
08104D40  GMTongDismiss
08104D80  GMTongSetAddTime
08104E60  GMTongSetExp
08104ED0  GMTongSetLevel
08104F40  GMTongSetMaster
0810EBA0  GMUnlockBox
08109F40  Get120SkillEnhanceExpRate
0810BDE0  GetAccLeftTime
0810F6A0  GetAccount
080FC590  GetAccrueSeries
08116240  GetAllCitySummary
0810D050  GetAllClothesEquipment
08108520  GetAllEquipValue
0810D0F0  GetAllEquipment
0811C320  GetAllSkillCurInc
08104680  GetArenaBothSides
080FDFF0  GetArenaCityArea
08108040  GetArenaCredits
08121D00  GetArenaInfoByCity
08104640  GetArenaLevel
08122000  GetArenaSchedule
080FBE20  GetArenaTargetCity
08129510  GetArenaTotalLevel
0812B880  GetArenaTotalLevelByCity
0810E740  GetAroundNpcList
0810E530  GetAroundPlayerList
080FE1D0  GetAutoHangExpValue
0812D3C0  GetBiaoChePos
080FEBA0  GetBit
081090A0  GetBitTask
0814E730  GetBotDeleteAccountFlag
0814E760  GetBotPunishFlag
0810EB40  GetBoxLockState
08111670  GetBoxMoney
080FEA20  GetByte
08114650  GetCamp
081116D0  GetCash
08118800  GetCashCoin
08129C30  GetChoose
0812AA00  GetChooseCount
080FB860  GetCity
08115C30  GetCityArea
080FFEB0  GetCityAreaName
080FBC30  GetCityCount
080FFF40  GetCityOwner
081223C0  GetCitySummary
080FFDA0  GetCityWarBothSides
081228C0  GetCityWarTongCamp
08113B20  GetColdR
080FC600  GetConquerSeries
0811A950  GetContribution
08113FC0  GetCumulateOffer
081146C0  GetCurCamp
080FD550  GetCurDurability
080FCE00  GetCurEquipWishValue
08103800  GetCurServerTime
0811C3A0  GetCurrentMagicLevel
08103A80  GetCurrentTime
0811AD30  GetCurrentTong
08112090  GetDefend
080FBB70  GetDelDupedAllInOne
0814E6C0  GetDelayCatchTime
08111960  GetDex
080FBE70  GetDiceIncome
08126520  GetDisabledFuncFlag
080FBBA0  GetDupedDealLevel
08129240  GetDynamicShopID
08107DE0  GetEnergy
08111A30  GetEng
081094A0  GetEnhanceExpRate
080FC800  GetEquipMaxStoneNum
081742C0  GetEventTask
08174430  GetEventTaskCount
08117860  GetExp
08121090  GetExpPercent
0810FA90  GetExtPoint
0811A5D0  GetFaction
08113C60  GetFactionNumber
08113340  GetFailedItem
0811B460  GetFeeType
081113C0  GetFightState
081130A0  GetFireR
08107680  GetFirstPlayerAtSW
08101CF0  GetFirstPlayerAtServer
0810A6F0  GetFusionInEquipInfo
0810F3A0  GetGameTime
080FBC60  GetGateWayClientID
08114E60  GetGiveItemUnit
08114D90  GetGiveItemUnitWithPos
080FD6C0  GetGlbMissionV
080FE270  GetGlbValue
080FBB40  GetGlobalTradeFlag
080FEF90  GetGlodEqIndex
08117790  GetGoldCoinCount
0810F710  GetIP
0810F7A0  GetInfo
080FBC90  GetIsCheckNpcBarrier
08102D20  GetItemAllParams
08127B70  GetItemBTLMaxStackCount
08127A70  GetItemBTLName
080FEC30  GetItemBelong
0810DD30  GetItemBillType
080FE790  GetItemBindState
0811DAA0  GetItemCmd
0811D6E0  GetItemCount
0811D830  GetItemCountEx
081C04A0  GetItemDiceItemInfo
081C0380  GetItemDicePlayerList
081C0B80  GetItemDiceRollInfo
081C05B0  GetItemDiceState
080FCF90  GetItemExchangeValue
080FCF00  GetItemFortuneValue
080FE820  GetItemGenTime
080FED90  GetItemHeight
081017C0  GetItemIndexBydwID
080FF0D0  GetItemLevel
0811CB00  GetItemLife
080FD7F0  GetItemMagicAttrib
0811E5B0  GetItemMagicDesc
08100430  GetItemMagicLevel
080FD1A0  GetItemMaxStackCount
081005D0  GetItemName
080FECC0  GetItemParam
08127C60  GetItemPrice
080FF260  GetItemProp
080FEFB0  GetItemQuality
080FF040  GetItemSeries
080FD250  GetItemStackCount
080FC670  GetItemValue
080FEE20  GetItemWidth
08121100  GetJoinTongTime
0811A4C0  GetLastAddFaction
080FCCF0  GetLastBreakTime
0810C0B0  GetLastDamageNpc
0810C5E0  GetLastDiagNpc
0810C5E0  GetLastDlgNpc
0810B9E0  GetLastExchangeTime
0810E6D0  GetLastFactionNumber
0810B870  GetLastLogoutTime
0810B970  GetLastOfflineTime
08111D90  GetLeadExp
08111D20  GetLeadLevel
081111E0  GetLevel
08101110  GetLevelExp
08108830  GetLevelUpExp
081124D0  GetLife
08112E00  GetLightR
0812A140  GetLocalDate
08103850  GetLocalTime
0810B760  GetLoginTime
081104A0  GetLogoutRV
080FBDF0  GetLoop
08111B80  GetLucky
08135CF0  GetMSIdxGroup
081351F0  GetMSPlayerCount
081361C0  GetMSRestTime
0810FE10  GetMagicPoint
08112270  GetMana
080FFBF0  GetMapDropRateFile
081024E0  GetMapInfoFile
08102BC0  GetMapNpcWithName
080FE390  GetMapParam
08106C80  GetMapPlayerList
08102A30  GetMapTrapCount
080FE5A0  GetMapType
080FDDC0  GetMaskFeature
08110340  GetMateName
080FD5C0  GetMaxDurability
080FCD80  GetMaxEquipWishValue
08108C00  GetMaxResist
08107160  GetMissionS
081072F0  GetMissionV
08111E70  GetName
08123830  GetNewBulletin
0810D270  GetNextItemIndexInRoom
08135760  GetNextPlayer
081075D0  GetNextPlayerAtSW
08101D20  GetNextPlayerAtServer
08104A20  GetNpcAroundNpcList
08104870  GetNpcAroundPlayerList
0811B260  GetNpcCurCamp
080FBFF0  GetNpcCurLife
080FBF70  GetNpcCurMaxLife
080FFC70  GetNpcDropRateFile
081C0B50  GetNpcExpRate
080FD9B0  GetNpcFightState
080FBDC0  GetNpcFreeCount
080FD920  GetNpcId
08110300  GetNpcIdx
080FDA40  GetNpcKind
08117EF0  GetNpcLife
08100040  GetNpcName
081C0A00  GetNpcParam
081293F0  GetNpcPos
08120D50  GetNpcPowerType
080FFCF0  GetNpcScript
080FE080  GetNpcSeries
080FDE50  GetNpcSettingIdx
08100170  GetNpcTimer
0811A9C0  GetNpcTong
081091A0  GetOnlineCommissionStatus
08104FA0  GetOrgMaxDurability
081103C0  GetPK
0812AD90  GetPMParam
081143F0  GetPartnerBagLevel
080FD3B0  GetPayTicket
080FBBD0  GetPayTicketCount
081128B0  GetPhyR
081094D0  GetPkReduceState
080FEF70  GetPlatinaEquipIndex
08100520  GetPlatinaLevel
08127EE0  GetPlayerClientIP
080FBCC0  GetPlayerCount
08111370  GetPlayerEnteringTrap
080FDC80  GetPlayerFeature
0810AB50  GetPlayerFortuneRank
08119060  GetPlayerMagicAttrib
08114730  GetPlayerRev
0810AE70  GetPoisonCount
08112B50  GetPoisonR
08129140  GetPos
0810AE70  GetPotionCount
08106620  GetPrice2Station
081066A0  GetPrice2WayPoint
080FFB90  GetProductLanguge
080FFB30  GetProductRegion
080FBAF0  GetProgressBarMaskEvent
0810F9F0  GetProp
0810E460  GetProtectTime
08101070  GetPtMagicAttrExValue
0810F400  GetPunish
08117720  GetPvPKilledNum
08129FF0  GetQAnswer
0812A500  GetQBeginTime
0812A640  GetQEndTime
0812A8C0  GetQuestion
0812A3C0  GetQuestionPrice
0812A780  GetQuestionTip
08110A70  GetRank
08107920  GetRanking
0814EA40  GetRefuseLoginCount
0814EAA0  GetRefuseLoginFlag
081110C0  GetRelaxTime
08127D20  GetRepairDurPrice
08117230  GetRepute
08129790  GetRespect
08111CC0  GetRestAP
08111C60  GetRestSP
08116370  GetRestTime
081185B0  GetRetScoreForGoldCoin
08111730  GetRideState
0810C2F0  GetRoleCreateDate
0810C210  GetRoleCreateTime
0810C1A0  GetRoleCreateTimeData
0810C130  GetRoleDataTransMark
08108590  GetRoleEquipValue
0810D170  GetRoomItems
08113420  GetSaleMoney
08111F30  GetSeries
0812A280  GetServerDate
08106510  GetServerName
081065F0  GetServiceMatchID
08112020  GetSex
0814E6F0  GetSignCodeSyncTime
0812C690  GetSignUpTongName
0811C510  GetSkillCount
0812AB40  GetSkillExp
08114A30  GetSkillId
080FDAD0  GetSkillMaxLevel
08108B20  GetSkillMaxLevelAddons
08129B70  GetSkillName
0812AC50  GetSkillNextExp
08125CB0  GetSkillState
08107A50  GetStallState
080FBD70  GetStallTotal
080FBD20  GetStallTotalTax
08112170  GetStamina
080FCE80  GetStarLevel
080FCA40  GetStarStoneOnEquip
08110DB0  GetStation
08110EF0  GetStationCount
08110BD0  GetStationName
08106070  GetStationPos
080FC980  GetStoneLevelOnEquip
08111890  GetStrg
081166E0  GetStringTask
08102F00  GetSwitch
08116890  GetTask
08174230  GetTaskEventID
08101270  GetTaskMoney
08175090  GetTaskStatus
08123A20  GetTaskTemp
08121AA0  GetTaxCollected
08115630  GetTeam
08115530  GetTeamMember
08115480  GetTeamSize
08110910  GetTerminiFState
080FD490  GetTicket
080FBC00  GetTicketCount
08116400  GetTimerId
08111120  GetTireTime
08111180  GetTiredDegree
0810BB70  GetTmpCamp
08174F40  GetTmpValue
0811AAB0  GetTong
08114560  GetTongCamp
081145B0  GetTongFigure
08190BB0  GetTongLogData
0812DC60  GetTongMTask
081144F0  GetTongMaster
0811AC80  GetTongMemberCount
08114600  GetTongMemberID
0811AB30  GetTongName
0811AF00  GetTongTitle
08113E10  GetTongWeek
0811D980  GetTotalItemCount
08127DC0  GetTotalMagicLevel
08114170  GetTotalOffer
0811C5D0  GetTotalSkill
080FBCF0  GetTradeTotal
080FBAC0  GetTripMode
08111E00  GetUUID
081117B0  GetVit
08110CC0  GetWayPoint
08110AE0  GetWayPointName
08105F30  GetWayPointPos
08114390  GetWeekGoalOffer
08114320  GetWeeklyOffer
08106310  GetWharf
08106460  GetWharfCount
08106250  GetWharfName
08105D30  GetWharfPos
081063E0  GetWharfPrice
08128F30  GetWorldPos
0812BBA0  GiveItemUI
081150F0  HandItemIdx
08104770  HaveBeginWar
0811D140  HaveCommonItem
0811D250  HaveItem
0811C930  HaveMagic
08106FC0  HideNpc
0812E1D0  IL
08154CB0  ITEM_Abrade2BrokenEquip
08154B80  ITEM_BrokenEquip2Normal
081553F0  ITEM_CalcItemValue
08154DE0  ITEM_DropRateItem
08154440  ITEM_ExportShop
08154540  ITEM_GetExpiredTime
08155320  ITEM_GetImmediaItemIndex
081547D0  ITEM_GetItemExParam
081550F0  ITEM_GetItemInfo
081548E0  ITEM_GetItemRandSeed
08154990  ITEM_GetItemVersion
081542C0  ITEM_GetLatestItemVersion
081545F0  ITEM_GetLeftUsageTime
08154A30  ITEM_SetExpiredTime
08154460  ITEM_SetExpiredTime2
081546A0  ITEM_SetItemExParam
08154FD0  ITEM_SetLeftUsageTime
08155BB0  ITEM_TransferItemValue
08123B60  Include
0812E1D0  IncludeLib
0810B170  IncreasePoisonCount
0810B170  IncreasePotionCount
0814ABD0  IniFile_GetData
0814AFB0  IniFile_Load
0814B160  IniFile_Save
0814AAF0  IniFile_SetData
0814B0E0  IniFile_UnLoad
0810A2C0  InlayStarStone
08101620  IsArenaBegin
0812D860  IsBiaoCheAlive
08115690  IsCaptain
0810AC70  IsDeath
0812EEE0  IsDisabledChatCity
081264B0  IsDisabledChatWorld
0812EE70  IsDisabledStall
0812EF50  IsDisabledTeam
0812ED70  IsDisabledUseHeart
0812EDF0  IsDisabledUseTownP
0812CF30  IsExpSkill
0810F540  IsForbidChangePK
081270D0  IsGSHaveFreeMap
0810AD00  IsHide
080FD320  IsItemStackable
0811B4D0  IsMyItem
08103530  IsNpcFeatureChanged
08106EC0  IsNpcHide
08127940  IsOpeningModule
0810CAA0  IsOwnFeatureChanged
08100EF0  IsSeriesAccrue
08100FB0  IsSeriesConquer
08115930  IsSigningUp
0810BF00  IsSpectator
080FE700  IsTongWarMap
08137E40  JoinMission
08118490  KickOutAccount
08118370  KickOutPlayer
081182C0  KickOutSelf
08117E00  KillNpc
081181D0  KillNpcWithIdx
08117BC0  KillPlayer
0815C720  LGM_ApplyAddMember
0815BAD0  LGM_ApplyRemoveMember
0815D0F0  LGM_CreateMemberObj
0815C5C0  LGM_FreeMemberObj
0815CCA0  LGM_SetMemberInfo
0815DC80  LG_AddMemberToObj
0815D210  LG_ApplyAddLeague
0815C3B0  LG_ApplyAppendLeagueTask
0815C0A0  LG_ApplyAppendMemberTask
0815B700  LG_ApplyDoScript
0815CED0  LG_ApplyRemoveLeague
0815C3D0  LG_ApplySetLeagueTask
0815C0C0  LG_ApplySetMemberTask
0815D740  LG_CreateLeagueObj
0815C670  LG_FreeLeagueObj
0815B640  LG_GetFirstLeague
0815DEF0  LG_GetLeagueCreateTime
0815C500  LG_GetLeagueInfo
0815E020  LG_GetLeagueObj
0815DE40  LG_GetLeagueObjByRole
0815E330  LG_GetLeagueTask
0815B5D0  LG_GetMemberCount
0815C3F0  LG_GetMemberInfo
0815E4F0  LG_GetMemberJoinTime
0815DAC0  LG_GetMemberObj
0815E120  LG_GetMemberTask
0815D870  LG_GetNextLeague
0815CB90  LG_SetLeagueInfo
08159A80  Ladder_ClearLadder
08159BD0  Ladder_GetLadderInfo
08159D40  Ladder_NewLadder
08104420  LeaveChannel
08121060  LeaveTeam
0812F460  LeftFillString
081290B0  LeftTrimString
081013D0  LoadMap
08105020  LoadScript
0810E1B0  LoginDelaySync
08103220  Lottery_CheckPrize
081033B0  Lottery_DrawCurrentIssue
0810C680  Lottery_GenerateItem
08103120  Lottery_GetDesc
0812B930  Lottery_GetLatestPrizeInfo
08103430  Lottery_StartNewIssue
081034B0  Lottery_UpdateIssue
081030A0  Lottery_WriteLog
08137970  MSDIdx2PIdx
08127E60  MagicAttrib2Str
081038A0  MakeDateTime
080FB870  MakeEnemy
08118F70  Mantle
08106830  Message
0811ABD0  MoveTongExp
08120EC0  Msg2Faction
0810F920  Msg2GM
081051E0  Msg2IP
08134280  Msg2MSAll
08134C60  Msg2MSGroup
08133810  Msg2MSPlayer
08105080  Msg2Map
081171B0  Msg2Player
080FB820  Msg2Region
08105170  Msg2SubWorld
081152C0  Msg2Team
08120E00  Msg2Tong
081C25F0  NPCINFO_AddBlueNpc
081C0970  NPCINFO_GetLevel
081C25E0  NPCINFO_GetName
081C06B0  NPCINFO_GetNpcCurrentLife
081C0630  NPCINFO_GetNpcCurrentMana
081C07C0  NPCINFO_GetNpcCurrentMaxLife
081C0730  NPCINFO_GetNpcCurrentMaxMana
081C08E0  NPCINFO_GetSeries
081C0850  NPCINFO_GetTemplateId
081C1070  NPCINFO_SetMaxLife
081C0FE0  NPCINFO_SetMaxMana
081C0070  NPCINFO_SetNpcCurrentLife
081BFFC0  NPCINFO_SetNpcCurrentMana
081C01C0  NPCINFO_SetNpcCurrentMaxLife
081C0120  NPCINFO_SetNpcCurrentMaxMana
08128000  NW_Abdicate
08128060  NW_AwardEmperor
08126DA0  NW_CheckText
08127FB0  NW_CloseCongratulation
08126A40  NW_Dismiss
08127180  NW_EmperorHistory
08127100  NW_EmperorHistoryCount
08126860  NW_Enthrone
08128550  NW_ForbidChat
081173F0  NW_GetDuty
081000D0  NW_GetEmperorName
081000F0  NW_GetNationTitle
080FBEA0  NW_GetRemark
081016F0  NW_GetSealInfo
08126D20  NW_GetTask
08117380  NW_InEmperorTong
08126B50  NW_Instate
081175D0  NW_IsEmperor
08128640  NW_Levy
08128100  NW_OpenCongratulation
08126C50  NW_OwnSeal
081284A0  NW_RemarkEmperor
081281F0  NW_SetNationTitle
08126CA0  NW_SetTask
081205C0  NewItemEx
0811B690  NewWorld
08174D40  NextTask
081170B0  NoChoice
08122800  NotifyArenaResult
08122940  NotifyWarResult
0812B3A0  NpcCastSkill
0812E5A0  NpcChat
081744B0  NpcDialog
0811D9C0  NpcDropMoney
081058B0  NpcIdx2PIdx
081006D0  NpcName2Replace
0811B590  NpcNewWorld
08101C10  NpcSetHide
08118E50  NpcWalk
080FDEF0  NumOfSignUpTongs
080FE900  Number2Int
080FE8A0  Number2UInt
080FF710  OB_Append
080FC360  OB_Clear
080FF870  OB_Copy
08130230  OB_Create
080FC280  OB_IsEmpty
08128E30  OB_PopByte
08100220  OB_PopDouble
08128D30  OB_PopInt
08100320  OB_PopString
0812F2D0  OB_PushByte
0812F150  OB_PushDouble
0812EFC0  OB_PushInt
08130B90  OB_PushString
08130440  OB_Release
08100660  ObjName2Relace
08103020  OfflineLive
081137C0  OpenAllTask
081299F0  OpenBox
080FB810  OpenCardBack
08115A40  OpenCityManageUI
081139E0  OpenCreateTask
081148A0  OpenDice
08131890  OpenGlbMission
08116490  OpenHelp
081332F0  OpenMission
08113730  OpenOwnTask
081082D0  OpenProgressBar
0810EE70  OpenStoreBox
08122AD0  OpenStores
081135C0  OpenSubmitAuction
08114470  OpenTongCamp
0811AF70  OpenTongZhaoMu
081C1890  OpenWatchGameInputDlg
08128730  OutputMonsterPos
0816EAE0  PARTNER_AddDefenceAptitude
0816CDD0  PARTNER_AddEmotionDegree
0816DE60  PARTNER_AddExp
0816C400  PARTNER_AddFightPartner
0816EC00  PARTNER_AddHitTargetRateAptitude
0816EE40  PARTNER_AddLifeAptitude
0816E8A0  PARTNER_AddLuckAptitude
0816D9D0  PARTNER_AddSkill
0816E9C0  PARTNER_AddSpeedAptitude
0816D240  PARTNER_AddState
0816ED20  PARTNER_AddStrengthAptitude
0816C160  PARTNER_CallOutCurPartner
0816F370  PARTNER_ChangeCharacter
0816E710  PARTNER_ChangeFeature
0816E570  PARTNER_ChangeFeatureOfPeriod
0816BF50  PARTNER_Count
0816EF60  PARTNER_GetAllSkill
0816E450  PARTNER_GetAptitudes
0816E330  PARTNER_GetAttribs
0816E210  PARTNER_GetAttribsInc
0816F480  PARTNER_GetBirthday
0816F560  PARTNER_GetCharacter
0816BFD0  PARTNER_GetCurPartner
0816C940  PARTNER_GetEmotionDegree
0816C790  PARTNER_GetEndure
0816DBC0  PARTNER_GetEssentialFeatureID
0816DFD0  PARTNER_GetExp
0816F640  PARTNER_GetGenData
0816DD80  PARTNER_GetLevel
0816C6C0  PARTNER_GetName
0816E0A0  PARTNER_GetResists
0816DCA0  PARTNER_GetSeries
0816C870  PARTNER_GetSettingIdx
0816F1F0  PARTNER_GetSkillInfo
0816CBA0  PARTNER_GetTaskValue
0816CA10  PARTNER_LevelUp
0816D900  PARTNER_ReGenAttribsInc
0816D650  PARTNER_RemoveAllSkill
0816C320  PARTNER_RemovePartner
0816FE40  PARTNER_RemoveSkill
0816FA80  PARTNER_SetAttribs
0816C060  PARTNER_SetCallOutSwitch
0816C240  PARTNER_SetCurPartner
0816CF60  PARTNER_SetEmotionDegree
0816D0F0  PARTNER_SetName
0816F870  PARTNER_SetResists
0816F710  PARTNER_SetStandbySkill
0816D4C0  PARTNER_SetTaskValue
081D6950  PET_AddAttrib
081D7040  PET_AddUpgradePoint
081D6D20  PET_ClearAttrib
081D6CE0  PET_ClearSkill
081D6F00  PET_Create
081D6D60  PET_Delete
081D64F0  PET_GetAttrib
081D6430  PET_GetDex
081D6370  PET_GetEng
081D61C0  PET_GetFeatureId
081D5FE0  PET_GetGrownPoint
081D60E0  PET_GetLevel
081D6310  PET_GetLife
081D62B0  PET_GetMana
081D7180  PET_GetName
081D6B80  PET_GetSkill
081D6490  PET_GetStr
081D5F90  PET_GetTamePoint
081D6150  PET_GetUpgradePoint
081D63D0  PET_GetVit
081D6080  PET_IsCreate
081D6030  PET_IsSummon
081D6A20  PET_SetAttrib
081D6810  PET_SetDex
081D66D0  PET_SetEng
081D6E60  PET_SetFeatureId
081D6230  PET_SetGrownPoint
081D6DC0  PET_SetLevel
081D6630  PET_SetLife
081D6590  PET_SetMana
081D6FC0  PET_SetName
081D6C20  PET_SetSkill
081D68B0  PET_SetStr
081D5F10  PET_SetTamePoint
081D70E0  PET_SetUpgradePoint
081D6770  PET_SetVit
081D6B30  PET_Summon
081D6AE0  PET_UnSummon
08136D90  PIdx2MSDIdx
080FD630  PIdx2NpcIdx
08118A90  Pay
08118720  PayCoin
0810FCA0  PayExtPoint
08118620  PayRetScoreForGoldCoin
0810E8E0  PlayMusic
080FFB00  PopString
08126FE0  PreApplyDungeonMap
08118870  PrePay
0811E8C0  PreviewPlatinaFromGold
0811E6F0  PreviewPlatinaUpgrade
08104240  PrintLuaStack
08124950  Prise
0812FDA0  PushString
08116F80  PutMessage
08113500  QueryAuctionItemInfo
081028C0  QueryMapTrap
0810AA50  QueryRoleName
0810A1A0  QueryTongName
08113830  QueryWiseMan
0811A270  QueryWiseManForSB
08107E40  ReduceArenaCredits
08107C00  ReduceEnergy
08112630  ReduceOwnExp
0812CFE0  ReduceRespect
08104C40  ReloadSkill
08100740  RemoteExecute
