id	name	function	writes	reads	magic values
217	ignoredamage	08095D50	0x18e0:mov		v0
218	sorbdamage_p	08096D10	0x1a24:mov	0x4 0x1a28	
219	anti_hitrecover	08096CD0	0x12b0:mov 0x12b4:mov	0x4	
220	anti_stuntimereduce_p	08096C10	0x12b8:mov 0x12bc:mov	0x4	
221	anti_poisonres_p	08096BD0	0x12e0:mov 0x12e4:mov	0x4	
222	anti_fireres_p	08096B90	0x12c8:mov 0x12cc:mov	0x4	
223	anti_lightingres_p	08096B50	0x12d8:mov 0x12dc:mov	0x4	
224	anti_physicsres_p	08096B10	0x12c0:mov 0x12c4:mov	0x4	
225	anti_coldres_p	08096AD0	0x12d0:mov 0x12d4:mov	0x4	
226	block_rate	08096C90	0x1408:mov	0x4	
227	enhancehit_rate	08096C50	0x140c:mov	0x4	
228	poisonres_yan_p	08095D70	0x1a00:add		
229	lightingres_yan_p	08095DB0	0x1a08:add		
230	fireres_yan_p	08095D90	0x19f0:add		
231	physicsres_yan_p	08095DD0	0x1a10:add		
232	coldres_yan_p	08095DF0	0x19f8:add		
233	lifemax_yan_v	08095E10	0x1a18:add		
234	lifemax_yan_p	08095E30	0x1a18:add	0x15ac	v0
235	manamax_yan_v	08095E60	0x1a20:add		
236	manamax_yan_p	08095E80	0x1a20:add	0x15b4	v0
237	sorbdamage_yan_p	08095EB0	0x1a28:mov		
238	fastwalkrun_yan_p	08095EF0	0x1288:mov 0x128c:mov 0x1a30:mov	0x161c 0x1620 0x1a2c	v0
239	attackspeed_yan_v	08095FE0	0x1a38:add		
240	castspeed_yan_v	08096000	0x1a40:add		
241	allres_yan_p	08096020	0x19f0:add 0x19f8:add 0x1a00:add 0x1a08:add 0x1a10:add		v0
242	anti_maxres_p	08096060	0x12c0:mov 0x12c4:mov		v0
243	skill_enhance	08096090	0x1280:add		
244	magicdamage_p	080960B0	0x1284:add		
245	fasthitrecover_yan_v	080960D0	0x1a48:add		
246	five_elements_enhance_v	080960F0	0x13f0:add		
247	five_elements_resist_v	08096110	0x13f4:add		
248	manareplenish_p	08096F10	0x119c:mov	0x4	v0
249	add_damage_p	08096130	0x1414:add		
250	forbit_attack	08096150	0x1478:sete		v0
251	frozen_action	08096170	0x1479:sete		v0
252	forbit_takemedicine	08096190	0x147a:sete		v0
253	invincibility	080961B0	0x147b:sete		v0
254	not_add_pkvalue_p	08095BE0		0x24	
255	add_boss_damage	08095C30	0x84:mov		
256	pk_punish_weaken	080961D0		0x24	
257	pk_punish_enhance	08096210		0x24	
258	anti_poisontimereduce_p	080969B0	0x1348:mov 0x134c:mov	0x4	
259	do_hurt_p	08096970	0x1340:mov 0x1344:mov	0x4	
260	anti_do_hurt_p	08096930	0x1338:mov 0x133c:mov	0x4	
261	do_stun_p	080968F0	0x1330:mov 0x1334:mov	0x4	
262	anti_do_stun_p	080968B0	0x1328:mov 0x132c:mov	0x4	
263	anti_physicsres_yan_p	08096870	0x12e8:mov 0x12ec:mov	0x4	
264	anti_poisonres_yan_p	08096830	0x1308:mov 0x130c:mov	0x4	
265	anti_coldres_yan_p	080967F0	0x12f8:mov 0x12fc:mov	0x4	
266	anti_fireres_yan_p	080967B0	0x12f0:mov 0x12f4:mov	0x4	
267	anti_lightingres_yan_p	08096770	0x1300:mov 0x1304:mov	0x4	
268	anti_allres_yan_p	08096710	0x12e8:mov 0x12ec:mov	0x4	v0
269	anti_sorbdamage_yan_p	080966D0	0x1310:mov 0x1314:mov	0x4	
270	anti_block_rate	08096690	0x1318:mov 0x131c:mov	0x4	
271	anti_enhancehit_rate	08096650	0x1320:mov 0x1324:mov	0x4	
272	autocastskill	08097420		0x4 0x1180 0x182c	v0 v1 v2
274	oncastskill	0809AE60		0x0 0x18f0	v0 v1 v2
275	enhancehiteffect_rate	080969F0	0x1410:mov	0x4	
276	me2metaldamage_p	08096250	0x15cc:add		
277	metal2medamage_p	08096270	0x15e0:add		
278	me2wooddamage_p	08096290	0x15d0:add		
279	wood2medamage_p	080962B0	0x15e4:add		
280	me2waterdamage_p	080962D0	0x15d4:add		
281	water2medamage_p	080962F0	0x15e8:add		
282	me2firedamage_p	08096310	0x15d8:add		
283	fire2medamage_p	08096330	0x15ec:add		
284	me2earthdamage_p	08096350	0x15dc:add		
285	earth2medamage_p	08096370	0x15f0:add		
286	meleedamagereturnmana_p	080963D0	0x137c:add		
287	rangedamagereturnmana_p	080963F0	0x1380:add		
288	reduceskillcd1	08097250			v0 v1 v2
289	reduceskillcd2	08097250			v0 v1 v2
290	reduceskillcd3	08097250			v0 v1 v2
291	clearallcd	08096410	0x1384:add		
292	addblockrate	08096430	0x1388:add 0x138c:add		v0
293	walkrunshadow	08096610	0x1394:mov		
295	candetonate1	08097110			v0 v2
296	candetonate2	08097110			v0 v2
297	candetonate3	08097110			v0 v2
298	manatoskill_enhance	08096450	0x1398:mov 0x13a0:mov		v0
299	melee_returnres_p	08096390	0x1264:add		
300	range_returnres_p	080963B0	0x1268:add		
